id;titulo;descripcion;localizacion;fecha
1;Papelería Metal Algodón;Refinado Uruguayo;Madrid;2021-10-17
2;AI Algodón Aplicaciones;input;Marca Pequeño;2021-10-18
3;architect Dinamarca;Avon bypass Inversor;Creativo;2021-10-18
4;Cine;Murcia;Director transform RAM;2021-10-18
5;deposit open-source;Seguridada Bricolaje;Blanco grupo;2021-10-18
6;Sorprendente overriding;empower Deportes;extend;2021-10-18
7;explícita Congolese funcionalidad;SQLX;withdrawal Bicicleta previsión;2021-10-17
8;Cambridgeshire;Exclusivo;parse navigate Silla;2021-10-18
9;action-items Intranet;XSS index;Soluciones Guinea AGP;2021-10-17
10;Virtual;Toallas transmit;Rojo Bicicleta;2021-10-18
